start_time,gate_width,centroid,mean,mean_error,area,area_error
0,192,834,834.007,0.0546405,3171.58,108.375
0,192,1464,1463.74,0.0179605,12343.6,132.987
0,194,630,630.111,0.164667,466.379,56.9616
0,194,834,834.007,0.0546702,3173.21,108.087
0,194,1464,1463.74,0.0179623,12346.1,133
0,196,630,630.11,0.165121,466.102,56.9655
0,196,834,834.009,0.0545244,3175.62,108.163
0,196,1464,1463.74,0.0179656,12347.2,133.026
0,198,630,630.112,0.165567,465.178,56.9707
0,198,834,834.009,0.105931,3175.95,0
0,198,1464,1463.74,0.0179635,12350.4,133.037
0,200,630,630.115,0.165349,466.148,57.0082
0,200,834,834.01,0.0545803,3176.23,108.489
0,200,1464,1463.74,0.0179603,12353.4,133.05
0,202,630,630.117,0.165648,464.749,56.9987
0,202,834,834.01,0.0543484,3174.01,108.272
0,202,1464,1463.74,0.0179602,12356.4,133.069
0,204,630,630.115,0.166126,463.057,56.9943
0,204,834,834.01,0.0549107,3173.48,108.494
0,204,1464,1463.74,0.0179628,12360.5,133.097
0,206,630,630.114,0.166141,464.013,57.0173
0,206,834,834.009,0.0547294,3174.62,108.496
0,206,1464,1463.74,0.0179656,12362.3,133.11
0,208,630,630.115,0.166462,462.619,57.0312
0,208,834,834.009,0.0548188,3176.6,108.577
0,208,1464,1463.74,0.0179631,12364,133.116
0,210,630,630.117,0.165309,465.93,57.0526
0,210,834,834.01,0.0545606,3175.68,108.398
0,210,1464,1463.74,0.0179623,12364.4,133.128
