start_time,gate_width,centroid,mean,mean_error,area,area_error
0,136,630,629.844,0.0228762,34324.1,454.524
0,136,834,833.95,0.00876005,115725,608.581
0,136,1464,1463.74,0.00299658,422476,568.401
0,138,630,629.843,0.0202135,34331.3,453.817
0,138,834,833.95,0.00882704,115761,608.811
0,138,1464,1463.74,0.00299656,422517,568.443
0,140,630,629.843,0.0204001,34329,454.223
0,140,834,833.949,0.00860641,115790,608.794
0,140,1464,1463.74,0.00299657,422559,568.526
0,142,630,629.843,0.0204022,34334,454.2
0,142,834,833.95,0.00859141,115823,609.023
0,142,1464,1463.74,0.00299676,422612,568.608
0,144,630,629.844,0.0201681,34324,455.425
0,144,834,833.949,0.00867419,115837,607.634
0,144,1464,1463.74,0.00299681,422662,568.674
0,146,630,629.843,0.0203432,34340.7,454.552
0,146,834,833.949,0.00932477,115851,610.115
0,146,1464,1463.74,0.002997,422735,568.789
0,148,630,629.842,0.0202834,34354.3,453.642
0,148,834,833.949,0.00850054,115862,609.221
0,148,1464,1463.74,0.00299711,422810,568.885
0,150,630,629.842,0.0227435,34355.2,456.027
0,150,834,833.949,0.0100929,115881,610.51
0,150,1464,1463.74,0.00299725,422898,568.988
0,152,630,629.841,0.0203078,34383.4,455.498
0,152,834,833.949,0.00861549,115891,609.785
0,152,1464,1463.74,0.00299723,422957,569.056
0,154,630,629.842,0.0204481,34403.9,455.683
0,154,834,833.95,0.00856861,115921,610.354
0,154,1464,1463.74,0.00299744,423040,569.204
0,156,630,629.841,0.0225952,34408.1,456.942
0,156,834,833.949,0.00881028,115936,610.479
0,156,1464,1463.74,0.00299755,423098,569.296
0,158,630,629.841,0.0213933,34404,465.787
0,158,834,833.949,0.00860728,115958,610.481
0,158,1464,1463.74,0.00299775,423184,569.412
0,160,630,629.84,0.0218715,34427.8,455.108
0,160,834,833.949,0.00867587,115981,609.516
0,160,1464,1463.74,0.00299776,423245,569.448
0,162,630,629.84,0.0205328,34441.6,456.565
0,162,834,833.949,0.00856954,116023,609.983
0,162,1464,1463.74,0.0029979,423313,569.572
0,164,630,629.84,0.0203424,34460.9,456.922
0,164,834,833.949,0.00857667,116026,609.873
0,164,1464,1463.74,0.00299796,423371,569.698
0,166,630,629.84,0.0249324,34440.2,462.171
0,166,834,833.949,0.00866136,116067,611.041
0,166,1464,1463.74,0.00299802,423438,569.796
0,168,630,629.841,0.0204087,34427.8,456.803
0,168,834,833.949,0.00865514,116057,611.295
0,168,1464,1463.74,0.00299795,423484,569.831
0,170,630,629.841,0.0203243,34428.5,455.831
0,170,834,833.949,0.00872392,116073,611.26
0,170,1464,1463.74,0.00299805,423546,569.891
0,172,630,629.84,0.020444,34438.1,457.151
0,172,834,833.948,0.00856158,116090,610.54
0,172,1464,1463.74,0.00299826,423634,570.02
0,174,630,629.841,0.0203252,34431.8,464.234
0,174,834,833.948,0.00902685,116116,610.675
0,174,1464,1463.74,0.00299831,423710,570.125
0,176,630,629.84,0.0203122,34435.5,457.33
0,176,834,833.948,0.008617,116133,611.81
0,176,1464,1463.74,0.00299852,423792,570.212
0,178,630,629.84,0.0202545,34460.8,457.126
0,178,834,833.948,0.00857934,116129,611.912
0,178,1464,1463.74,0.00299859,423849,570.295
0,180,630,629.84,0.0203523,34458.9,457.03
0,180,834,833.948,0.00863143,116132,612.097
0,180,1464,1463.74,0.00299873,423907,570.428
0,182,630,629.84,0.0207191,34483.2,458.615
0,182,834,833.948,0.00861729,116123,612.048
0,182,1464,1463.74,0.00299878,423966,570.498
0,184,630,629.84,0.0204946,34486.1,458.593
0,184,834,833.949,0.00866151,116161,611.866
0,184,1464,1463.74,0.00299895,424046,570.616
0,186,630,629.84,0.0204252,34508,470.335
0,186,834,833.948,0.00867394,116180,612.383
0,186,1464,1463.74,0.00299898,424121,570.65
0,188,630,629.839,0.0206676,34504.2,458.52
0,188,834,833.948,0.00865814,116200,612.584
0,188,1464,1463.74,0.00299918,424185,570.788
0,190,630,629.839,0.0232912,34527.2,457.614
0,190,834,833.948,0.00868914,116218,612.932
0,190,1464,1463.74,0.00299933,424257,570.899
0,192,630,629.839,0.0202807,34517,458.559
0,192,834,833.948,0.00873309,116245,613.033
0,192,1464,1463.74,0.00299935,424299,570.971
0,194,630,629.838,0.0203518,34523.5,461.081
0,194,834,833.948,0.00884017,116256,614.669
0,194,1464,1463.74,0.00299955,424375,571.066
0,196,630,629.837,0.0206915,34540.3,459.644
0,196,834,833.948,0.00861581,116267,613.119
0,196,1464,1463.74,0.00299955,424448,571.114
0,198,630,629.836,0.0203739,34547.3,458.837
0,198,834,833.948,0.00862768,116284,612.289
0,198,1464,1463.74,0.00299957,424508,571.212
0,200,630,629.837,0.0222693,34560.2,467.508
0,200,834,833.948,0.0094503,116296,613.845
0,200,1464,1463.74,0.00299967,424582,571.304
0,202,630,629.837,0.0206739,34582.2,459.895
0,202,834,833.948,0.011473,116305,612.462
0,202,1464,1463.74,0.0029998,424663,571.403
0,204,630,629.837,0.0204308,34588.4,459.922
0,204,834,833.948,0.00863668,116325,613.774
0,204,1464,1463.74,0.00300008,424739,571.544
0,206,630,629.836,0.0211805,34611.7,463.636
0,206,834,833.948,0.00870314,116338,614.472
0,206,1464,1463.74,0.00300022,424817,571.621
0,208,630,629.837,0.0244861,34614.6,462.113
0,208,834,833.947,0.0108045,116368,615.248
0,208,1464,1463.74,0.0030002,424873,571.667
0,210,630,629.837,0.0204018,34605.8,460.286
0,210,834,833.947,0.00870281,116357,613.25
0,210,1464,1463.74,0.00300021,424927,571.738
